#percentage  of  data	figaro-time	mkl-time
10	1.16	14.63
20	2.84	28.37
30	3.93	42.87
40	3.13	56.52
50	3.74	81.61
60	10.02	96.48
70	9.08	119.60
80	5.93	128.67
90	7.71	145.40
100	7.37	179.99
