#percentage  of  data	figaro-time	mkl-time
10	1.40	12.69
20	2.36	26.78
30	3.72	41.31
40	5.93	56.07
50	8.16	90.83
60	10.91	109.69
70	11.46	119.05
80	10.38	132.76
90	8.93	127.12
100	13.41	141.91
