,16,64,256,1024,4096
512,2.2682393006794377e-15,1.7818384974813133e-14,3.7405460443754276e-14,,
1024,3.453378816983321e-15,3.297123495426233e-14,1.2778214991892427e-13,,
2048,4.662208510925375e-15,4.2580981709582745e-14,3.2294804018301447e-13,6.238529375742559e-13,
4096,6.0224357640202735e-15,5.377429162208107e-14,5.241733121546552e-13,,
8192,7.910410528902325e-15,6.294253314312154e-14,,,
