#percentage  of  data	figaro-time	mkl-time	postproc-thin-time
10	0.68	7.32	1.45
20	1.26	15.23	3.04
30	1.81	24.69	4.67
40	2.40	32.78	6.25
50	3.11	48.64	4.33
60	3.59	65.23	7.35
70	4.07	66.88	10.28
80	4.71	93.50	10.08
90	5.27	131.23	11.08
100	6.78	128.07	12.35
