,16,64,256,1024,4096
512,5.943119078995056e-14,2.6203147257217804e-14,4.4901644036091476e-14,,
1024,2.5368680552030127e-13,1.75382998190532e-13,1.651446283055317e-13,,
2048,1.1776050910275863e-12,8.395426728373165e-13,5.142193093689836e-13,1.1516648328085243e-12,
4096,4.9913752900831984e-12,3.4262888189640223e-12,2.8353681508008776e-12,,
8192,2.0539038245610152e-11,1.5618438029901765e-11,,,
