,16,64,256,1024,4096
512,8.353390228046724e-15,5.024124539238835e-15,8.685186748102975e-15,,
1024,2.862713670053812e-14,1.7393947789911303e-14,1.6522220397425842e-14,,
2048,7.877445329710862e-14,6.135257246544464e-14,4.226067745031081e-14,7.465937748426367e-14,
4096,2.2376627931974265e-13,1.8549307373817264e-13,1.4190380072007554e-13,,
8192,5.683297055534854e-13,4.708801293647339e-13,,,
