,16,64,256,1024,4096
512,2.594526391916674e-15,1.7300376958483722e-14,3.708595564582641e-14,,
1024,3.78871417446118e-15,3.380770472545441e-14,1.282332597289651e-13,,
2048,4.8955440710682186e-15,4.27488506245093e-14,3.2379560175446374e-13,6.335611029978248e-13,
4096,5.7470622910689755e-15,5.366886575188259e-14,5.253079892785115e-13,,
8192,8.206794071983854e-15,6.303766967962386e-14,,,
