#percentage  of  data	figaro-time	mkl-time	postproc-thin-time
10	1.01	3.43	5.45
20	1.94	6.51	10.90
30	2.53	9.73	13.13
40	3.54	13.24	16.09
50	4.22	17.10	20.17
60	5.18	17.80	24.45
70	5.95	20.70	26.17
80	6.90	24.54	22.58
90	8.08	39.81	29.76
100	8.88	75.35	33.52
