#percentage  of  data	figaro-time	mkl-time	thin-time
10	0.09	0.48	0.71
20	0.08	0.47	0.69
30	0.09	0.49	0.71
40	0.08	0.48	0.71
50	0.09	0.50	0.71
60	0.08	0.49	0.80
70	0.07	0.48	0.71
80	0.07	0.49	0.70
90	0.09	0.47	0.68
100	0.08	0.48	0.70
