#cores	Retailer	Favorita	Yelp
1	inf	inf	inf
2	inf	inf	inf
4	inf	inf	inf
8	inf	inf	inf
16	inf	inf	inf
24	inf	inf	inf
32	inf	inf	inf
48	26.79	13.39	0.08
