#percentage  of  data	figaro-time	mkl-time	thin-time
10	1.09	2.98	3.69
20	2.58	8.59	6.34
30	2.89	10.25	10.26
40	3.97	14.20	13.52
50	5.32	20.39	15.02
60	6.31	21.63	20.74
70	7.88	27.78	25.33
80	9.27	33.22	29.44
90	17.95	38.33	54.44
100	13.39	43.60	38.56
